ID,name,KeyCode,TimeClick,TimeNext
49,Maciek,32,296,480
50,Maciek,80,312,472
51,Maciek,79,312,504
52,Maciek,73,312,528
53,Maciek,78,296,520
54,Maciek,84,264,480
55,Maciek,83,280,496
56,Maciek,32,264,488
57,Maciek,79,255,504
58,Maciek,85,248,456
59,Maciek,84,256,472
60,Maciek,32,248,520
61,Maciek,72,256,432
62,Maciek,79,280,440
63,Maciek,87,263,465
64,Maciek,32,256,431
65,Maciek,84,280,448
66,Maciek,72,304,456
67,Maciek,69,335,488
68,Maciek,32,281,471
69,Maciek,83,232,497
70,Maciek,84,264,488
71,Maciek,79,304,480
72,Maciek,82,304,584
73,Maciek,79,288,560
74,Maciek,78,264,504
75,Maciek,71,320,472
76,Maciek,32,264,1152
77,Maciek,77,319,497
78,Maciek,65,280,495
79,Maciek,78,295,473
80,Maciek,32,263,439
81,Maciek,83,312,480
82,Maciek,84,359,512
83,Maciek,85,368,568
84,Maciek,78,327,568
85,Maciek,66,280,624
86,Maciek,76,327,1160
87,Maciek,69,305,528
88,Maciek,83,280,520
89,Maciek,188,321,471
90,Maciek,32,279,513
91,Maciek,79,344,479
92,Maciek,82,335,513
93,Maciek,32,295,544
94,Maciek,72,263,504
95,Maciek,65,231,408
96,Maciek,86,328,448
97,Maciek,69,264,1273
98,Maciek,32,240,494
99,Maciek,68,320,512
100,Maciek,79,298,504
101,Maciek,78,344,512
102,Maciek,69,272,488
103,Maciek,32,280,448
104,Maciek,84,289,513
105,Maciek,72,344,479
106,Maciek,69,336,496
107,Maciek,77,336,488
108,Maciek,32,286,530
109,Maciek,66,287,511
110,Maciek,69,272,431
111,Maciek,84,328,424
112,Maciek,84,351,497
113,Maciek,69,336,535
114,Maciek,82,264,560
115,Maciek,190,184,528
116,Maciek,32,160,968
117,Maciek,84,136,110
118,Maciek,72,184,560
119,Maciek,69,271,457
120,Maciek,32,256,503
121,Maciek,67,272,448
122,Maciek,82,256,544
123,Maciek,69,319,433
124,Maciek,68,256,591
125,Maciek,73,304,512
126,Maciek,84,296,480
127,Maciek,32,296,504
128,Maciek,66,256,528
129,Maciek,69,280,496
130,Maciek,76,328,504
131,Maciek,79,328,520
132,Maciek,78,280,592
133,Maciek,71,336,480
134,Maciek,83,296,592
135,Maciek,32,232,496
136,Maciek,84,256,392
137,Maciek,79,310,498
138,Maciek,32,280,478
139,Maciek,84,288,512
140,Maciek,72,304,528
141,Maciek,69,336,480
142,Maciek,32,272,488
143,Maciek,77,320,504
144,Maciek,65,248,520
145,Maciek,78,296,496
146,Maciek,32,288,464
147,Maciek,87,248,544
148,Maciek,72,288,440
149,Maciek,79,272,512
150,Maciek,32,264,1104
151,Maciek,73,336,488

